Runtime,Workers,Metric,SFCL,RLTune-sched,Sailor-sched,G-PORT,Best
TCP,8,Mean barrier (ms),43.45756406473806,51.9362171817192,50.911659369376096,40.8576593817997,G-PORT
TCP,8,P95 barrier (ms),75.94730504788451,75.62539490754708,77.51118994201533,84.95607501245082,RLTune-sched
TCP,8,Throughput (iter/s),23.01095382406422,19.25438651993287,19.641866173419416,24.475215054669928,G-PORT
TCP,8,Post-decode rows,1.8125,0.390625,0.0,1.625,Sailor-sched
TCP,8,Cancel time (ms),14.252856261009532,17.043512514646814,15.656834379114978,14.714267181261627,SFCL
TCP,8,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
TCP,16,Mean barrier (ms),44.90367656762823,46.51816875229993,47.07077031707737,52.61868281559141,SFCL
TCP,16,P95 barrier (ms),63.39906499488271,60.43026492698112,63.19415996549648,87.19074998516587,RLTune-sched
TCP,16,Throughput (iter/s),22.26989138615246,21.496976919379666,21.244606647900937,19.00465664457284,SFCL
TCP,16,Post-decode rows,11.15625,2.203125,0.0,0.0,"Sailor-sched,G-PORT"
TCP,16,Cancel time (ms),20.402837491928896,22.544534383996456,22.6469249992078,26.16851718812536,SFCL
TCP,16,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
TCP,24,Mean barrier (ms),51.07084218434461,53.94730311854795,50.55957969307197,48.82329062274943,G-PORT
TCP,24,P95 barrier (ms),62.39536997745737,72.07462001242665,70.26090506697065,60.97847994533364,G-PORT
TCP,24,Throughput (iter/s),19.580644399605035,18.536607804147746,19.77864543318241,20.482027885560942,G-PORT
TCP,24,Post-decode rows,23.890625,2.71875,0.0,0.0,"Sailor-sched,G-PORT"
TCP,24,Cancel time (ms),21.96493593328336,26.270870304870137,24.93619375309204,25.05554063827725,SFCL
TCP,24,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
TCP+stress,8,Mean barrier (ms),49.44477655772057,55.60319687356236,56.3332890724268,48.38879219096266,G-PORT
TCP+stress,8,P95 barrier (ms),88.59598003909908,86.01416990859433,89.86163500812832,73.86154996929687,G-PORT
TCP+stress,8,Throughput (iter/s),20.224583254666456,17.98457743848663,17.7514932372281,20.665942560698284,G-PORT
TCP+stress,8,Post-decode rows,1.421875,0.34375,0.0,1.609375,Sailor-sched
TCP+stress,8,Cancel time (ms),15.248251556840794,17.1260859297035,15.810953127584025,15.160245313381845,G-PORT
TCP+stress,8,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
TCP+stress,16,Mean barrier (ms),53.179857808572656,53.09406249580202,53.33704531221878,53.08454999249075,G-PORT
TCP+stress,16,P95 barrier (ms),70.96496996236954,76.95679491735049,71.24946000985796,83.94062999286677,SFCL
TCP+stress,16,Throughput (iter/s),18.804111955312504,18.834497738406565,18.748695098243733,18.83787279239361,G-PORT
TCP+stress,16,Post-decode rows,9.828125,1.515625,0.0,0.0,"Sailor-sched,G-PORT"
TCP+stress,16,Cancel time (ms),23.618651564902347,22.494689063023493,22.15246874584404,22.211393748875665,Sailor-sched
TCP+stress,16,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
TCP+stress,24,Mean barrier (ms),60.86119375322591,65.40910780677217,55.48032969454648,53.92714687332041,G-PORT
TCP+stress,24,P95 barrier (ms),93.31367996055631,137.45662496075957,67.64948999625618,61.24247997067867,G-PORT
TCP+stress,24,Throughput (iter/s),16.430831180451428,15.288390768975821,18.024406226596316,18.54353619614046,G-PORT
TCP+stress,24,Post-decode rows,21.015625,4.140625,0.0,0.0,"Sailor-sched,G-PORT"
TCP+stress,24,Cancel time (ms),27.248839063759025,29.84371874845232,23.860882805820392,23.71046092957836,G-PORT
TCP+stress,24,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
K3s,8,Mean barrier (ms),22.744097453127612,27.98844209374702,29.021239578121037,19.60591481250513,G-PORT
K3s,8,P95 barrier (ms),60.31690810000323,55.52010790006528,54.36886710002679,41.984733499998576,G-PORT
K3s,8,Throughput (iter/s),43.967451426061615,35.729034029493654,34.45752195760428,51.00501606597697,G-PORT
K3s,8,Post-decode rows,0.4375,0.0,0.0,0.40625,"RLTune-sched,Sailor-sched"
K3s,8,Cancel time (ms),1.6883321093849688,1.6022465000168968,1.6019205937566952,1.6860359375030032,Sailor-sched
K3s,8,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
K3s,16,Mean barrier (ms),14.481744843731503,9.802905484391951,9.374075156255609,11.33090417187072,Sailor-sched
K3s,16,P95 barrier (ms),16.337045999921394,10.94077134995352,10.206666849990093,16.016053849978046,Sailor-sched
K3s,16,Throughput (iter/s),69.05245264232474,102.01057243611967,106.67719037143299,88.25421032882154,Sailor-sched
K3s,16,Post-decode rows,3.421875,1.34375,0.0,1.46875,Sailor-sched
K3s,16,Cancel time (ms),3.588577921895773,3.182110624997799,2.933827375002761,3.211397124985591,Sailor-sched
K3s,16,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
K3s,24,Mean barrier (ms),15.72707262499402,12.792626156254936,12.380392328104458,12.416617796862488,Sailor-sched
K3s,24,P95 barrier (ms),17.58110995011744,14.83083234993498,13.313868299962886,13.22567319989499,G-PORT
K3s,24,Throughput (iter/s),63.584624033004374,78.17003231279853,80.77288453370915,80.53722973197151,Sailor-sched
K3s,24,Post-decode rows,8.921875,2.546875,0.0,0.0,"Sailor-sched,G-PORT"
K3s,24,Cancel time (ms),5.637752156239579,4.605245453124188,4.317365656248694,4.342432812482089,Sailor-sched
K3s,24,Decode success,1.0,1.0,1.0,1.0,"SFCL,RLTune-sched,Sailor-sched,G-PORT"
