external_mode,strategy,method,source,artifact,uses_first_decode_features,notes,w8_mean_barrier_ms,w8_p95_barrier_ms,w8_gain_percent,w8_regressions,w16_mean_barrier_ms,w16_p95_barrier_ms,w16_gain_percent,w16_regressions,w24_mean_barrier_ms,w24_p95_barrier_ms,w24_gain_percent,w24_regressions,avg_p95_barrier_ms,avg_extra_compute,avg_cancel_ms
k3s,original_sfcl_static,Original-SFCL,Sparse-flexible coded learning,same-runtime reimplementation,No,static sparse-flexible placement,22.744097453127615,60.31690810000323,0.0,3,14.481744843731503,16.337045999921394,0.0,5,15.72707262499402,17.58110995011744,0.0,0,31.41168801668069,2.438382587735615,3.6382207291734403
k3s,rltune_style_selector,RLTune-style,SoCC'25 RLTune,public artifact; runtime adaptation,Indirect,"portfolio over uncoded, replicated, static-coded, and rank-coded arms",27.98844209374702,55.520107900065284,-23.058046824796026,12,9.802905484391953,10.94077134995352,32.30853332818393,0,12.792626156254936,14.83083234993498,18.6585675459752,0,27.097237199984594,1.1387871636284723,3.129867526046295
k3s,sailor_style_heterogeneity_aware,Sailor-style,SOSP'25 Sailor,public artifact; runtime adaptation,No,heterogeneity-aware throughput and load model,29.021239578121033,54.36886710002679,-27.598994147513324,14,9.374075156255609,10.206666849990093,35.269711920706676,0,12.380392328104458,13.313868299962886,21.27974084363863,0,25.96313408332659,1.0,2.951037875002717
k3s,guarded_system_portfolio,Guarded portfolio,this paper,ours,Guarded,online guard over a system portfolio,19.60591481250513,41.984733499998576,13.797789281767889,1,11.330904171870719,16.016053849978046,21.757327627717743,1,12.416617796862488,13.22567319989499,21.049402562498763,0,23.74215351662387,1.5475657629588293,3.0799552916568946
k3s,guarded_system_portfolio_best_safe,Guarded portfolio-BS,this paper,ours,Guarded,online guard with fixed best-safe fallback,20.215351406235932,50.973162899845065,11.13156669700751,0,9.351703828130503,10.15696450008362,35.90658645552082,0,12.43035665629571,13.35043979952386,22.767782487306878,0,24.826855733150847,1.3736979166666667,2.978732859368403
k3s,online_counter_guard_deadline_aware_sparse_flexible,Guard-D,this paper,ours,Guarded,coded-only guard; static sparse-flexible fallback,20.29140321874573,48.16008039982755,10.783871461316684,0,14.224850578127457,16.16285765002199,1.7739179109708196,3,15.867478437506529,17.770330100006454,-0.892765080065634,7,27.364422716618662,2.32140144469246,3.6777814270755886
k3s,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,speed_aware_uncoded,29.103582874981228,54.66008724998797,-27.961036638009563,14,9.559156984383987,10.55399059996482,33.9916765035277,0,12.632877062490117,13.85574904996922,19.67432615264012,0,26.356608966640668,1.0,2.9839921197934838
k3s,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication,speculative_replication,30.30313940625357,57.69809909992315,-33.23518099016273,16,10.265390562480492,12.561601399920562,29.114960432934858,0,13.765117656266268,15.07654624996343,12.475016905623901,0,28.44541558326905,1.1744065057663688,3.302415057297214
k3s,sparse_flexible_static,SparseFlexibleStatic,Sparse-flexible coded learning,same-runtime reimplementation,No,legacy static baseline name,22.761022499981415,59.74022905005531,-0.07441511754282501,5,14.489074671896367,16.642724100086035,-0.05061426122305991,3,15.938139171883085,17.87824035010316,-1.3420587029885653,8,31.420397833414835,2.450715564546131,3.6540062708282974
k3s,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,worker_aware_sparse_flexible,28.328654374995164,53.9307010000356,-24.55387351982876,16,14.757268718749776,16.244416700010305,-1.9025599331529073,11,16.057638953125014,17.837132900001432,-2.1018935692179985,10,29.337416866682446,2.593558175223214,3.646090536449218
k3s,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,rank_aware_sparse_flexible,28.32745139061993,55.555530099877515,-24.54858430412032,16,13.851294562503066,15.974791100006714,4.3534138187866995,0,17.668009875006113,32.86166324993466,-12.341376531367233,16,34.79732814993963,2.239266531808035,4.343987911450802
k3s,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,deadline_aware_sparse_flexible,28.329826265608155,55.4958215000055,-24.55902602418909,16,15.365144843755676,30.514851249972608,-6.100093666589885,12,15.575562109383108,16.90501359995546,0.9633739172166493,8,34.305228783311186,2.2440233987475193,4.162948078122919
k3s,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,system_portfolio,26.785060046865485,51.19079055003789,-17.767082655470173,14,10.846694890641787,15.625887199962545,25.100911473821235,0,12.393050499987575,13.201268549960245,21.199254333625312,0,26.672648766653555,1.326842292906746,3.2052824999990985
k3s,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,online_counter_guard_rank_aware_sparse_flexible,20.30832196874495,48.318568299964646,10.70948402943866,2,14.19212729688364,16.122478149861696,1.999880193809831,1,15.77428654686481,17.681147599955647,-0.3002079471277746,7,27.374064683260666,2.3355557880704363,3.645759177080233
