case,workers,strategy,n_seeds,mean_barrier_ms,p95_barrier_ms,barrier_gain_vs_static_pct,decode_success_rate,worker_errors,recoveries,reissued_rows,dispatch_ms,cancel_ms,strategy_label
baseline,24,guarded_system_portfolio,2,12.6369458333783,13.1044819999601,23.68352724072141,1.0,0.0,0.0,0.0,0.7815363334202001,4.407941083362199,Guarded portfolio
baseline,24,online_counter_guard_deadline_aware_sparse_flexible,2,16.643258083301202,20.740758875035652,-0.3082751609969772,1.0,0.0,0.0,0.0,0.6771424166345,5.58709100005215,Guarded deadline-aware
baseline,24,rank_aware_sparse_flexible,2,15.5219365833166,16.8908842499604,6.243274714018801,1.0,0.0,0.0,0.0,0.7174390000272499,5.6773722499959,Rank-aware
baseline,24,sparse_flexible_static,2,16.59647199998435,20.43684662481835,0.0,1.0,0.0,0.0,0.0,0.5924324166244,5.67842833326415,Static sparse-flex
baseline,24,speed_aware_uncoded,2,12.924061916654201,13.54072449987595,21.943318458114312,1.0,0.0,0.0,0.0,0.8215015000511,4.41115708323035,Speed-aware uncoded
baseline,24,system_portfolio,2,12.57731816663935,13.2586779998291,23.98684082338303,1.0,0.0,0.0,0.0,0.77076649995425,4.38969150006105,Portfolio
cancel_ack_20ms,24,guarded_system_portfolio,2,31.967499666658654,32.52836225010465,5.127448455762788,1.0,0.0,0.0,0.0,0.889976333345,23.57647083344235,Guarded portfolio
cancel_ack_20ms,24,online_counter_guard_deadline_aware_sparse_flexible,2,33.936095833420595,38.195383625009,-0.6642900145284248,1.0,0.0,0.0,0.0,0.8009616666034001,24.72003291669955,Guarded deadline-aware
cancel_ack_20ms,24,rank_aware_sparse_flexible,2,32.660702749884194,33.5568551248002,3.0664182182720605,1.0,0.0,0.0,0.0,0.64567016659105,24.73209858339935,Rank-aware
cancel_ack_20ms,24,sparse_flexible_static,2,33.7093265000021,37.76603900013235,0.0,1.0,0.0,0.0,0.0,0.6126796667634,24.77530366669115,Static sparse-flex
cancel_ack_20ms,24,speed_aware_uncoded,2,32.195829833426544,32.8055522500676,4.453834797328625,1.0,0.0,0.0,0.0,0.82055849998135,23.57354691669865,Speed-aware uncoded
cancel_ack_20ms,24,system_portfolio,2,31.9168908332206,32.32269099981975,5.277958179845512,1.0,0.0,0.0,0.0,0.8354180000271999,23.59366166668525,Portfolio
close_connection,24,guarded_system_portfolio,2,10.8049079999924,12.80785525011645,35.04880478033281,0.6666666666666666,1.0,0.0,0.0,0.7949407499078,2.8316020832335,Guarded portfolio
close_connection,24,online_counter_guard_deadline_aware_sparse_flexible,2,16.64859549994915,20.671152375086802,0.0891556158621315,1.0,1.0,0.0,0.0,0.6342622499838501,5.5319655833727,Guarded deadline-aware
close_connection,24,rank_aware_sparse_flexible,2,15.6210814167252,16.7980137500194,6.112385912956779,1.0,1.0,0.0,0.0,0.6518043334910999,5.5010282500612995,Rank-aware
close_connection,24,sparse_flexible_static,2,16.657795999928197,20.6081476248414,0.0,1.0,1.0,0.0,0.0,0.7089510000923499,5.49565816675105,Static sparse-flex
close_connection,24,speed_aware_uncoded,2,11.3658028334005,13.328934500123,31.652645499312065,0.6666666666666666,1.0,0.0,0.0,0.8104136666891001,2.9889779165538,Speed-aware uncoded
close_connection,24,system_portfolio,2,11.132166916619651,13.045871999906849,33.06998855160159,0.6666666666666666,1.0,0.0,0.0,0.65290050000985,2.9862474999238495,Portfolio
cpu_hog,24,guarded_system_portfolio,2,12.487522333344652,13.0604828750051,24.807489355204737,1.0,0.0,0.0,0.0,0.81174824996795,4.28290133334025,Guarded portfolio
cpu_hog,24,online_counter_guard_deadline_aware_sparse_flexible,2,16.5404264999248,20.49038924985775,0.596312930001081,1.0,0.0,0.0,0.0,0.6986491667550999,5.5337560833095,Guarded deadline-aware
cpu_hog,24,rank_aware_sparse_flexible,2,15.62407316661535,16.7240423750172,5.982971296167742,1.0,0.0,0.0,0.0,0.6534404999835001,5.6254287500223,Rank-aware
cpu_hog,24,sparse_flexible_static,2,16.6402168332524,20.590336124769202,0.0,1.0,0.0,0.0,0.0,0.6157361666130501,5.648951583376951,Static sparse-flex
cpu_hog,24,speed_aware_uncoded,2,12.689718083379299,13.271267000163752,23.60742253424426,1.0,0.0,0.0,0.0,0.7348141666625001,4.31405849997185,Speed-aware uncoded
cpu_hog,24,system_portfolio,2,12.400834000004549,12.9895864998275,25.351029565702262,1.0,0.0,0.0,0.0,0.8510840832893,4.2752897499743,Portfolio
