seed,policy,samples,build_ms
17,rho-family,0,0.11429993901401758
17,oracle-minset,0,1529.164700070396
17,sampled-minset-128,128,59.34620008338243
17,sampled-minset-512,512,226.47619992494583
23,rho-family,0,0.10099995415657759
23,oracle-minset,0,1436.108099995181
23,sampled-minset-128,128,70.06940001156181
23,sampled-minset-512,512,296.0130999563262
31,rho-family,0,0.10820000898092985
31,oracle-minset,0,1522.8673999663442
31,sampled-minset-128,128,70.54659991990775
31,sampled-minset-512,512,302.21980006899685
43,rho-family,0,0.09460002183914185
43,oracle-minset,0,1465.084399911575
43,sampled-minset-128,128,74.99600003939122
43,sampled-minset-512,512,315.5884000007063
59,rho-family,0,0.08729996625334024
59,oracle-minset,0,1498.2202999526635
59,sampled-minset-128,128,65.31640002503991
59,sampled-minset-512,512,254.8143999883905
